BTC,ETH,UNI,ADA,BNB,CAKE,XMR
29040.44,735.17,5.2333,0.18085,37.4215,0.6181,157.18
29458.58,749.5,5.1696,0.18394,37.6701,0.6146,160.3
29245.4,745.32,5.1926,0.18414,38.0151,0.6229,161.73
29331.51,746.14,5.167,0.18319,37.9536,0.62,160.2
29272.06,743.59,5.1178,0.18203,37.932,0.6117,160.1
29236.94,741.98,5.1255,0.18331,37.7639,0.6246,160.19
29220.31,741.02,4.9313,0.18114,37.7,0.628,159.5
29144.69,738.56,5.0076,0.17984,37.7546,0.6277,159.17
29053.75,731.46,4.9171,0.1781,37.4998,0.6199,158.98
29257.84,735.08,5.0,0.17938,38.0277,0.6367,161.96
29286.68,738.43,5.0527,0.18048,38.904,0.6458,164.5
29377.61,740.5,5.0168,0.17987,38.4638,0.6319,164.47
29300.95,734.87,4.9133,0.18075,38.3788,0.6383,163.58
29530.61,741.73,4.9511,0.18159,38.4096,0.6418,165.57
29385.79,739.5,4.9644,0.18323,38.1678,0.6377,166.6
29256.46,736.96,4.7886,0.18094,38.2303,0.648,168.03
29366.68,737.34,4.8322,0.18036,38.2658,0.665,168.13
29148.79,729.6,4.6967,0.17845,37.9403,0.6571,156.57
29134.89,726.15,4.8216,0.17507,37.6923,0.6379,146.37
29095.81,726.97,4.8291,0.17465,37.4783,0.6438,141.24
29275.05,731.34,4.844,0.17552,37.5,0.6349,138.47
29244.47,730.08,4.7864,0.17566,37.3105,0.6443,133.52
29335.57,730.85,4.7757,0.17586,37.6635,0.6482,133.95
29406.54,730.92,4.75,0.17555,37.8546,0.6638,136.0
29271.27,721.76,4.5905,0.17193,37.0572,0.6389,131.65
29441.76,731.34,4.6775,0.17419,37.3313,0.6422,131.45
29409.33,731.55,4.7039,0.17486,37.3033,0.634,132.18
29427.14,732.18,4.8279,0.1755,37.6433,0.6455,134.01
29429.74,731.41,4.7813,0.1748,37.5117,0.6446,135.79
29675.49,734.07,4.8805,0.17552,37.7695,0.6465,135.36
29792.65,739.11,4.7604,0.1744,37.5892,0.636,134.89
29826.46,736.99,4.6926,0.17285,37.4139,0.637,134.87
29909.07,735.46,4.627,0.17191,37.2114,0.6411,133.8
29680.47,726.83,4.5553,0.171,37.0965,0.634,133.0
29743.78,730.08,4.6079,0.1715,37.2567,0.6311,133.3
29814.48,731.2,4.6271,0.17235,37.3821,0.6086,134.61
30653.07,753.52,4.6504,0.1799,37.9314,0.5883,139.09
31614.03,772.16,4.7488,0.18013,38.1996,0.6055,140.34
31329.81,761.95,4.6762,0.17919,38.0413,0.6037,142.59
31756.26,770.07,4.8868,0.17926,38.1773,0.6075,142.01
32549.85,783.52,4.7814,0.18374,38.4,0.6097,144.86
32935.15,780.53,4.7553,0.1833,38.5584,0.607,143.15
33044.52,780.99,4.952,0.18308,38.1645,0.5963,142.11
33082.04,785.82,5.0663,0.18346,38.0961,0.6049,143.86
30695.44,757.74,4.7577,0.17471,37.45,0.6032,139.16
31707.98,769.37,4.844,0.17732,37.9581,0.6115,141.23
32167.4,772.75,4.8814,0.17798,38.157,0.6027,144.28
32215.48,775.28,4.8597,0.17764,38.2653,0.619,143.32
32473.35,776.47,4.7708,0.17663,38.0476,0.6074,144.35
32615.01,777.63,4.7365,0.17606,38.0024,0.6075,143.52
32777.07,779.78,4.8283,0.1752,38.1407,0.6036,143.22
32617.16,773.43,4.7209,0.17465,38.0155,0.6055,142.99
33231.42,778.36,4.7263,0.17594,37.9015,0.6086,142.71
33781.84,787.2,4.7656,0.17491,37.8752,0.62,141.05
33999.84,800.62,4.9135,0.17676,38.2196,0.625,142.46
34489.08,800.64,4.7804,0.17447,38.0863,0.6275,139.43
34404.03,818.16,4.9067,0.17659,38.6283,0.6346,139.24
34220.57,819.38,4.8322,0.17945,38.255,0.6168,138.38
33911.1,826.32,5.0529,0.18645,38.4371,0.6245,137.45
34437.38,830.62,5.0947,0.18897,39.849,0.655,138.45
34132.24,832.36,5.1999,0.19378,39.9781,0.6555,138.51
33915.89,875.37,5.274,0.1978,40.429,0.6386,139.02
33892.59,914.17,5.3065,0.19774,40.6183,0.6446,135.79
33561.75,919.3,5.2551,0.19635,40.3461,0.6329,132.27
32725.49,936.46,5.144,0.19319,40.4045,0.6301,132.28
32927.41,936.26,5.1122,0.19516,40.7948,0.6302,136.12
32780.12,917.95,5.1127,0.19365,40.5084,0.6098,136.66
32781.34,921.7,5.1427,0.19508,40.325,0.6098,136.8
33746.47,946.9,5.2551,0.19883,40.4718,0.622,139.0
33585.52,950.58,5.3115,0.19995,40.7284,0.6309,138.85
33164.37,993.05,5.3673,0.20162,40.7321,0.6429,139.07
33071.12,980.14,5.5267,0.20663,41.3002,0.635,138.45
32885.1,977.12,5.5566,0.21526,41.713,0.6427,141.59
33232.56,968.18,5.7241,0.21585,41.5313,0.6345,142.65
33506.62,980.83,5.74,0.21642,41.377,0.6327,140.1
33580.33,1023.29,5.9843,0.22365,41.32,0.622,141.49
33332.19,1030.08,5.7902,0.22809,41.7588,0.6249,141.91
32895.05,1086.78,5.9197,0.23193,42.1357,0.6248,143.45
33280.47,1110.41,5.9806,0.22922,42.2256,0.62,143.37
32129.24,1046.53,5.6573,0.217,40.8373,0.5951,139.87
32055.28,1023.04,5.5267,0.21387,40.7474,0.6,140.1
31024.18,969.66,5.3074,0.20729,40.37,0.598,136.25
30262.81,965.49,5.2551,0.20908,39.433,0.5756,135.51
30753.85,977.05,5.3056,0.21336,39.0315,0.5796,135.48
31241.41,1020.0,5.4183,0.21124,40.0615,0.6075,137.25
31430.17,1012.69,5.3296,0.21239,39.3888,0.6041,137.0
32143.87,1044.35,5.5408,0.21754,39.9087,0.6185,137.19
31772.93,1041.07,5.3734,0.2165,39.8949,0.6189,136.09
31332.74,1010.63,5.2348,0.21142,39.3201,0.614,135.4
31031.77,999.86,5.2243,0.2076,39.4297,0.6188,132.34
31171.11,1015.34,5.2927,0.21157,39.8109,0.6255,132.4
31678.38,1042.9,5.4489,0.21676,39.9413,0.6295,133.13
31267.47,1020.11,5.3877,0.21258,39.59,0.6238,131.5
31036.04,1006.93,5.2106,0.21239,40.037,0.6279,130.34
31357.42,1013.6,5.264,0.21758,40.1809,0.6411,132.24
32015.4,1042.23,5.4279,0.22535,41.1599,0.648,133.9
32461.76,1096.29,5.5834,0.22367,40.7006,0.6325,133.83
32816.0,1116.05,5.6487,0.22244,41.2218,0.6347,133.9
32344.34,1079.65,5.5517,0.21792,40.6682,0.632,131.9
31213.13,1002.51,5.2804,0.21284,39.825,0.6361,130.0
30883.64,1004.72,5.3406,0.21265,39.5028,0.6277,130.68
30448.73,990.45,5.275,0.20929,39.1012,0.6299,131.02
31137.78,1015.89,5.4171,0.21963,39.7544,0.64,132.56
30828.0,1003.73,5.4251,0.21914,39.681,0.6212,130.38
31210.02,1027.71,5.5315,0.22683,39.8979,0.6074,131.97
31585.71,1036.21,5.6327,0.23077,40.1865,0.6315,133.45
31363.92,1028.64,5.7019,0.235,40.3333,0.6158,133.81
31797.66,1042.74,5.9139,0.23041,40.6544,0.6279,134.97
31616.88,1029.71,5.7266,0.23123,40.3019,0.6274,133.83
31485.36,1024.83,5.7727,0.22823,39.8547,0.6213,133.64
32375.67,1049.18,5.9578,0.23637,40.051,0.6308,131.61
32143.93,1054.31,6.2083,0.24605,40.2178,0.6335,130.67
32520.88,1067.36,6.4096,0.25455,40.48,0.6375,131.67
32801.64,1083.98,6.4117,0.25201,40.3899,0.6376,134.29
33449.4,1076.84,6.3155,0.24988,40.269,0.645,133.95
33798.92,1099.17,6.408,0.25091,40.4502,0.6635,137.05
34047.66,1101.51,6.4092,0.25091,40.2979,0.6551,135.6
33795.83,1085.0,6.4016,0.25656,40.8426,0.6621,137.84
34297.67,1112.39,6.5145,0.263,41.4423,0.6743,139.63
34048.81,1103.01,6.2681,0.25917,41.9202,0.6787,136.38
33972.14,1082.76,6.1874,0.26736,41.1644,0.6784,135.43
33862.96,1073.58,6.1171,0.26563,40.7372,0.6639,133.9
33935.07,1079.23,6.3398,0.27041,41.0381,0.6674,134.34
34195.75,1077.55,6.2188,0.26608,40.902,0.655,133.51
35462.72,1123.45,6.3074,0.26944,41.1568,0.635,136.58
35097.0,1105.31,6.2239,0.26556,40.8076,0.6485,134.68
35246.88,1116.97,6.1972,0.26975,41.0764,0.6499,136.49
34765.02,1109.8,6.1716,0.27985,41.0149,0.6538,136.75
34650.85,1112.98,6.1365,0.28032,41.1781,0.6717,135.6
33983.83,1101.5,6.0601,0.27467,41.1154,0.6738,135.01
34506.93,1117.41,6.262,0.28849,41.6036,0.674,136.78
35027.93,1155.3,6.3138,0.29622,41.622,0.6701,136.92
35023.07,1146.95,6.3074,0.3168,41.87,0.6805,138.58
34646.52,1138.06,6.3267,0.31419,42.1169,0.6878,137.32
34321.66,1137.06,6.19,0.2912,41.379,0.6464,137.29
34667.87,1146.91,6.2011,0.30944,41.4776,0.6588,138.64
34700.56,1175.79,6.308,0.30079,41.8264,0.6781,138.35
35013.63,1195.79,6.5939,0.31103,41.9044,0.6702,139.28
35321.91,1195.05,6.4418,0.30851,41.7822,0.6769,141.45
34935.07,1165.27,6.2147,0.29257,41.1955,0.6701,137.98
36149.42,1201.55,6.2914,0.30901,41.6941,0.6449,137.26
35953.58,1183.51,6.2792,0.30714,41.5138,0.6481,137.75
36088.52,1180.96,6.2594,0.33133,41.8937,0.6481,139.5
36851.55,1211.47,6.4279,0.33336,42.333,0.6615,142.53
37252.91,1203.02,6.3419,0.348,41.9283,0.6593,140.69
36979.5,1203.4,6.361,0.34325,41.8109,0.6559,142.66
37054.37,1199.4,6.2226,0.34108,41.8955,0.6549,141.7
37566.96,1217.11,6.322,0.33961,42.2163,0.6552,141.82
37571.4,1214.62,6.236,0.33173,42.4684,0.6398,142.2
37487.11,1211.7,6.249,0.33492,42.9807,0.6417,142.74
37227.62,1202.04,6.2556,0.33897,43.944,0.6513,142.74
36925.36,1188.57,6.2226,0.32891,43.2,0.635,142.11
37267.6,1197.27,6.2038,0.33029,43.3802,0.6406,144.0
37531.26,1206.55,6.2469,0.33115,43.5255,0.6533,148.0
37092.57,1184.79,6.1213,0.308,43.5752,0.6488,146.79
37874.47,1202.92,6.1804,0.3123,43.9773,0.6492,150.18
37996.49,1228.94,6.3566,0.31799,43.9606,0.6467,151.29
38236.43,1220.36,6.3461,0.31918,43.8208,0.6398,151.28
38510.39,1225.98,6.3948,0.31629,44.3222,0.64,150.0
39057.04,1252.55,6.6707,0.31931,44.4308,0.625,150.07
39179.96,1265.65,6.5901,0.32269,44.1944,0.6286,147.59
39774.56,1271.94,6.5,0.32008,43.9411,0.63,147.08
38924.0,1223.46,6.2278,0.29917,42.2649,0.598,143.6
39074.27,1234.82,6.3251,0.31146,43.2555,0.6249,144.94
39134.55,1243.65,6.4178,0.31011,43.5086,0.6241,146.31
39734.86,1255.75,6.4259,0.31255,43.6512,0.6152,148.2
39696.1,1246.14,6.3856,0.30357,43.4774,0.6163,144.97
39488.0,1225.91,6.2706,0.29966,43.6632,0.6047,143.16
38848.73,1184.3,6.0849,0.29244,42.6428,0.6,140.26
38718.51,1185.64,6.1197,0.28874,42.6581,0.5927,138.52
37207.84,1112.2,5.6559,0.27844,41.1704,0.5918,141.1
38389.28,1151.6,5.8379,0.2827,41.572,0.5847,140.71
38719.25,1170.04,5.9119,0.2845,41.809,0.5888,145.2
38006.62,1148.86,5.7971,0.27757,41.428,0.5785,142.22
38554.05,1175.69,5.9465,0.29312,41.8359,0.5913,145.39
38948.6,1208.51,6.1265,0.315,42.5267,0.5957,147.39
38675.11,1200.73,6.0906,0.31122,42.6388,0.6252,146.9
39400.0,1222.5,6.2814,0.30855,42.901,0.6262,147.37
40759.35,1252.38,6.3273,0.31523,43.3445,0.6342,150.04
41330.89,1256.63,6.223,0.30879,43.1155,0.6354,146.83
41367.09,1251.28,6.2415,0.30386,42.7142,0.6069,144.74
41367.47,1251.45,6.1154,0.30937,42.8863,0.6101,146.24
41498.76,1258.5,6.1735,0.30962,43.0484,0.6041,146.05
40874.6,1218.14,5.9897,0.29947,42.4369,0.6092,145.24
41341.08,1228.24,6.0345,0.30155,42.5015,0.5999,146.31
41036.22,1216.28,6.0124,0.29699,42.2857,0.5811,144.13
39966.78,1183.01,5.8178,0.29173,41.6637,0.569,141.95
40363.52,1184.67,5.7754,0.29124,41.7964,0.5778,142.05
39071.98,1146.17,5.6487,0.28489,41.1547,0.5692,137.29
40080.0,1192.96,5.7823,0.28931,41.7804,0.5743,139.46
40699.17,1217.7,5.8761,0.29946,42.3198,0.575,142.71
40610.16,1217.89,5.873,0.30427,42.37,0.5834,142.36
