BTC,ETH,ADA,BNB,XMR
29040.44,735.17,0.18085,37.4215,157.18
29458.58,749.5,0.18394,37.6701,160.3
29245.4,745.32,0.18414,38.0151,161.73
29331.51,746.14,0.18319,37.9536,160.2
29272.06,743.59,0.18203,37.932,160.1
29236.94,741.98,0.18331,37.7639,160.19
29220.31,741.02,0.18114,37.7,159.5
29144.69,738.56,0.17984,37.7546,159.17
29053.75,731.46,0.1781,37.4998,158.98
29257.84,735.08,0.17938,38.0277,161.96
29286.68,738.43,0.18048,38.904,164.5
29377.61,740.5,0.17987,38.4638,164.47
29300.95,734.87,0.18075,38.3788,163.58
29530.61,741.73,0.18159,38.4096,165.57
29385.79,739.5,0.18323,38.1678,166.6
29256.46,736.96,0.18094,38.2303,168.03
29366.68,737.34,0.18036,38.2658,168.13
29148.79,729.6,0.17845,37.9403,156.57
29134.89,726.15,0.17507,37.6923,146.37
29095.81,726.97,0.17465,37.4783,141.24
29275.05,731.34,0.17552,37.5,138.47
29244.47,730.08,0.17566,37.3105,133.52
29335.57,730.85,0.17586,37.6635,133.95
29406.54,730.92,0.17555,37.8546,136.0
29271.27,721.76,0.17193,37.0572,131.65
29441.76,731.34,0.17419,37.3313,131.45
29409.33,731.55,0.17486,37.3033,132.18
29427.14,732.18,0.1755,37.6433,134.01
29429.74,731.41,0.1748,37.5117,135.79
29675.49,734.07,0.17552,37.7695,135.36
29792.65,739.11,0.1744,37.5892,134.89
29826.46,736.99,0.17285,37.4139,134.87
29909.07,735.46,0.17191,37.2114,133.8
29680.47,726.83,0.171,37.0965,133.0
29743.78,730.08,0.1715,37.2567,133.3
29814.48,731.2,0.17235,37.3821,134.61
30653.07,753.52,0.1799,37.9314,139.09
31614.03,772.16,0.18013,38.1996,140.34
31329.81,761.95,0.17919,38.0413,142.59
31756.26,770.07,0.17926,38.1773,142.01
32549.85,783.52,0.18374,38.4,144.86
32935.15,780.53,0.1833,38.5584,143.15
33044.52,780.99,0.18308,38.1645,142.11
33082.04,785.82,0.18346,38.0961,143.86
30695.44,757.74,0.17471,37.45,139.16
31707.98,769.37,0.17732,37.9581,141.23
32167.4,772.75,0.17798,38.157,144.28
32215.48,775.28,0.17764,38.2653,143.32
32473.35,776.47,0.17663,38.0476,144.35
32615.01,777.63,0.17606,38.0024,143.52
32777.07,779.78,0.1752,38.1407,143.22
32617.16,773.43,0.17465,38.0155,142.99
33231.42,778.36,0.17594,37.9015,142.71
33781.84,787.2,0.17491,37.8752,141.05
33999.84,800.62,0.17676,38.2196,142.46
34489.08,800.64,0.17447,38.0863,139.43
34404.03,818.16,0.17659,38.6283,139.24
34220.57,819.38,0.17945,38.255,138.38
33911.1,826.32,0.18645,38.4371,137.45
34437.38,830.62,0.18897,39.849,138.45
34132.24,832.36,0.19378,39.9781,138.51
33915.89,875.37,0.1978,40.429,139.02
33892.59,914.17,0.19774,40.6183,135.79
33561.75,919.3,0.19635,40.3461,132.27
32725.49,936.46,0.19319,40.4045,132.28
32927.41,936.26,0.19516,40.7948,136.12
32780.12,917.95,0.19365,40.5084,136.66
32781.34,921.7,0.19508,40.325,136.8
33746.47,946.9,0.19883,40.4718,139.0
33585.52,950.58,0.19995,40.7284,138.85
33164.37,993.05,0.20162,40.7321,139.07
33071.12,980.14,0.20663,41.3002,138.45
32885.1,977.12,0.21526,41.713,141.59
33232.56,968.18,0.21585,41.5313,142.65
33506.62,980.83,0.21642,41.377,140.1
33580.33,1023.29,0.22365,41.32,141.49
33332.19,1030.08,0.22809,41.7588,141.91
32895.05,1086.78,0.23193,42.1357,143.45
33280.47,1110.41,0.22922,42.2256,143.37
32129.24,1046.53,0.217,40.8373,139.87
32055.28,1023.04,0.21387,40.7474,140.1
31024.18,969.66,0.20729,40.37,136.25
30262.81,965.49,0.20908,39.433,135.51
30753.85,977.05,0.21336,39.0315,135.48
31241.41,1020.0,0.21124,40.0615,137.25
31430.17,1012.69,0.21239,39.3888,137.0
32143.87,1044.35,0.21754,39.9087,137.19
31772.93,1041.07,0.2165,39.8949,136.09
31332.74,1010.63,0.21142,39.3201,135.4
31031.77,999.86,0.2076,39.4297,132.34
31171.11,1015.34,0.21157,39.8109,132.4
31678.38,1042.9,0.21676,39.9413,133.13
31267.47,1020.11,0.21258,39.59,131.5
31036.04,1006.93,0.21239,40.037,130.34
31357.42,1013.6,0.21758,40.1809,132.24
32015.4,1042.23,0.22535,41.1599,133.9
32461.76,1096.29,0.22367,40.7006,133.83
32816.0,1116.05,0.22244,41.2218,133.9
32344.34,1079.65,0.21792,40.6682,131.9
31213.13,1002.51,0.21284,39.825,130.0
30883.64,1004.72,0.21265,39.5028,130.68
30448.73,990.45,0.20929,39.1012,131.02
31137.78,1015.89,0.21963,39.7544,132.56
30828.0,1003.73,0.21914,39.681,130.38
31210.02,1027.71,0.22683,39.8979,131.97
31585.71,1036.21,0.23077,40.1865,133.45
31363.92,1028.64,0.235,40.3333,133.81
31797.66,1042.74,0.23041,40.6544,134.97
31616.88,1029.71,0.23123,40.3019,133.83
31485.36,1024.83,0.22823,39.8547,133.64
32375.67,1049.18,0.23637,40.051,131.61
32143.93,1054.31,0.24605,40.2178,130.67
32520.88,1067.36,0.25455,40.48,131.67
32801.64,1083.98,0.25201,40.3899,134.29
33449.4,1076.84,0.24988,40.269,133.95
33798.92,1099.17,0.25091,40.4502,137.05
34047.66,1101.51,0.25091,40.2979,135.6
33795.83,1085.0,0.25656,40.8426,137.84
34297.67,1112.39,0.263,41.4423,139.63
34048.81,1103.01,0.25917,41.9202,136.38
33972.14,1082.76,0.26736,41.1644,135.43
33862.96,1073.58,0.26563,40.7372,133.9
33935.07,1079.23,0.27041,41.0381,134.34
34195.75,1077.55,0.26608,40.902,133.51
35462.72,1123.45,0.26944,41.1568,136.58
35097.0,1105.31,0.26556,40.8076,134.68
35246.88,1116.97,0.26975,41.0764,136.49
34765.02,1109.8,0.27985,41.0149,136.75
34650.85,1112.98,0.28032,41.1781,135.6
33983.83,1101.5,0.27467,41.1154,135.01
34506.93,1117.41,0.28849,41.6036,136.78
35027.93,1155.3,0.29622,41.622,136.92
35023.07,1146.95,0.3168,41.87,138.58
34646.52,1138.06,0.31419,42.1169,137.32
34321.66,1137.06,0.2912,41.379,137.29
34667.87,1146.91,0.30944,41.4776,138.64
34700.56,1175.79,0.30079,41.8264,138.35
35013.63,1195.79,0.31103,41.9044,139.28
35321.91,1195.05,0.30851,41.7822,141.45
34935.07,1165.27,0.29257,41.1955,137.98
36149.42,1201.55,0.30901,41.6941,137.26
35953.58,1183.51,0.30714,41.5138,137.75
36088.52,1180.96,0.33133,41.8937,139.5
36851.55,1211.47,0.33336,42.333,142.53
37252.91,1203.02,0.348,41.9283,140.69
36979.5,1203.4,0.34325,41.8109,142.66
37054.37,1199.4,0.34108,41.8955,141.7
37566.96,1217.11,0.33961,42.2163,141.82
37571.4,1214.62,0.33173,42.4684,142.2
37487.11,1211.7,0.33492,42.9807,142.74
37227.62,1202.04,0.33897,43.944,142.74
36925.36,1188.57,0.32891,43.2,142.11
37267.6,1197.27,0.33029,43.3802,144.0
37531.26,1206.55,0.33115,43.5255,148.0
37092.57,1184.79,0.308,43.5752,146.79
37874.47,1202.92,0.3123,43.9773,150.18
37996.49,1228.94,0.31799,43.9606,151.29
38236.43,1220.36,0.31918,43.8208,151.28
38510.39,1225.98,0.31629,44.3222,150.0
39057.04,1252.55,0.31931,44.4308,150.07
39179.96,1265.65,0.32269,44.1944,147.59
39774.56,1271.94,0.32008,43.9411,147.08
38924.0,1223.46,0.29917,42.2649,143.6
39074.27,1234.82,0.31146,43.2555,144.94
39134.55,1243.65,0.31011,43.5086,146.31
39734.86,1255.75,0.31255,43.6512,148.2
39696.1,1246.14,0.30357,43.4774,144.97
39488.0,1225.91,0.29966,43.6632,143.16
38848.73,1184.3,0.29244,42.6428,140.26
38718.51,1185.64,0.28874,42.6581,138.52
37207.84,1112.2,0.27844,41.1704,141.1
38389.28,1151.6,0.2827,41.572,140.71
38719.25,1170.04,0.2845,41.809,145.2
38006.62,1148.86,0.27757,41.428,142.22
38554.05,1175.69,0.29312,41.8359,145.39
38948.6,1208.51,0.315,42.5267,147.39
38675.11,1200.73,0.31122,42.6388,146.9
39400.0,1222.5,0.30855,42.901,147.37
40759.35,1252.38,0.31523,43.3445,150.04
41330.89,1256.63,0.30879,43.1155,146.83
41367.09,1251.28,0.30386,42.7142,144.74
41367.47,1251.45,0.30937,42.8863,146.24
41498.76,1258.5,0.30962,43.0484,146.05
40874.6,1218.14,0.29947,42.4369,145.24
41341.08,1228.24,0.30155,42.5015,146.31
41036.22,1216.28,0.29699,42.2857,144.13
